track_title,valence,lyrics,album_yr
Intro: 2 Cool 4 Skool (ft. DJ Friz),0.553,"we’re now going to progress to some steps
which are a bit more difficult
ready, set, and begin
big hit exclusive, exclusive
dj friz
who’s that?
b, a, n, g, t, a, n
bulletproof boy scouts
(do it)
2 cool, 2 cool 4 skool
2 cool, 2 cool 4 skool
teenagers in their 10s and 20s
let's talk about it easily
you take that
2 cool, 2 cool 4 skool
2 cool, 2 cool 4 skool
teenagers in their 10s and 20s
let's talk about it easily
you take that",2013
We Are Bulletproof Pt.2,0.868,"(what) give it to me
 (what) be nervous
 (what) the one to end it all
 (what) we are bulletproof
 we are bulletproof
 bulletproof
 
 the name is jungkook, my scale is nationwide
 i pulled all-nighters at practice rooms
 instead of school, dancing and singing
 while you guys partied
 i gave up sleep for my dreams
 i spent all night holding a pen
 closing my eyes only after the morning sun rises
 my limit was broken in the
 double standards and many oppositions
 but i got lucky and was contacted by an agency
 yall you who are called rappers because you can’t sing
 the rapper title is an extravagance for you
 
 everywhere i go, everything i do
 i will show you, as much as i sharpened my sword
 to all the people who looked down on me
 (oh oh oh oh oh oh) hey shout it out
 
 oh! throw a stone at me if you’ve done as much as i did
 we go hard, we have no fear
 (click click, bang bang) we just sing it like
 (click click, bang bang) we just sing it like
 oh! throw a stone at me if you’ve done as much as i did
 we go hard, we have no fear
 (click click, bang bang) we just sing it like
 (click click, bang bang) we just sing it like
 
 (what) give it to me
 (what) be nervous
 (what) the one to end it all
 (what) we are bulletproof
 we are bulletproof
 bulletproof
 
 look at my profile, there’s nothing there yet
 still a trainee and rapper man
 yeah i do know that’s nothing
 i contemplated a lot but now i don’t need anything
 you’re still an amateur
 i’m in the majors, hope you’ll rot like that
 rap monster, like my name
 i can eat up any kind of beat like a monster
 i’m loyal to my name, guys come here, take a preview
 i put a twist to being an idol
 haha, hyungs who only had hip-hop pride
 told me it’d be impossible but
 look carefully, i place a period after impossible
 i’m possible, now are we all set, boy?
 
 everywhere i go, everything i do
 i will show you, as much as i sharpened my sword
 to all the people who looked down on me
 (oh oh oh oh oh oh) hey shout it out
 
 oh! throw a stone at me if you’ve done as much as i did
 we go hard, we have no fear
 (click click, bang bang) we just sing it like
 (click click, bang bang) we just sing it like
 oh! throw a stone at me if you’ve done as much as i did
 we go hard, we have no fear
 (click click, bang bang) we just sing it like
 (click click, bang bang) we just sing it like
 
 (what) give it to me
 (what) be nervous
 (what) the one to end it all
 (what) we are bulletproof
 we are bulletproof
 bulletproof
 bulletproof",2013
No More Dream ,0.612,"hey, what's your dream?
 hey, what’s your dream?
 hey, what's your dream?
 hey, is that your dream?
 
 i wanna big house, big cars & big rings
 but in reality, i don't have any big dreams
 haha i live an easy life
 even if i don’t dream, no one says anything to me
 everyone is thinking the same as me
 when we were still young i said i'll go to some university
 okay, mum, i'm going to the library
 
 what is you that you dreamed of?
 who do you see in your mirror, i gotta say
 go your own way
 even if you live a day
 do something
 put weakness away
 
 why don't you say anything? you don't want to study
 you're too afraid to quit the school, right? see, you're getting ready for school
 grow up, don't just talk, you have a weak mind boy
 (stop!) ask yourself, when did you try hard
 
 hey, what’s your dream?
 hey, what’s your dream?
 hey, what's your dream?
 hey, is that your dream?
 
 it’s a lie you're such a liar
 see me, see me ya, you're hypocrite
 why are you telling me to go another way? do well yourself!
 don't push others!
 (la la la la la)
 what’s you dream? what's your dream?
 (la la la la la)
 is that your dream? is that your dream?
 
 boring same day, every day repeats
 adults and parents tell us the same dream
 future job number one, public officials?
 it's not a forced dream, a relief pitcher
 
 throw a fastball to the self-study time that is a waste of time
 disobey the hell-like society pardon the dream
 ask yourself 'bout the profile of your dream
 become the subject of your own life, away from suppression
 
 what is you that you dreamed of?
 who do you see in your mirror, i gotta say
 go your own way
 even if you live a day
 do something
 put weakness away
 
 hey, what's your dream?
 hey, what's your dream?
 hey, what's your dream?
 hey, is that your dream?
 
 it's a lie you're such a liar
 see me, see me ya, you're hypocrite
 why are you telling me to go another way? do well yourself!
 don't push others!
 (la la la la la)
 what's you dream? what's your dream?
 (la la la la la)
 is that your dream? is that your dream?
 
 don't know how to live
 don't know how to fly
 don't know how to decide
 don't know how to dream now
 open, open, open your eyes again
 dance, dance, dance again
 dream, dream, dream again
 don't hesitate, don't hesitate, wassup!
 
 it's a lie you're such a liar
 see me, see me ya, you're hypocrite
 why are you telling me to go another way? do well yourself!
 don't push others!
 (la la la la la)
 what's you dream? what's your dream?
 (la la la la la)
 is that your dream? is that your dream?
 
 to all the youngsters without dreams",2013
좋아요 (I Like It) ,0.768,"wanna be loved…

don’t wanna be fool wanna be cool
wanna be loved same love as you
baby i want it

on every picture you post
a guy i've never seen before likes it... who is he?
oh right i'm not your boyfriend anymore
i somehow naturally typed out your phone number
but calling or texting you is like losing
if i don't say anything
i don't think you'll even care about me
why isn't there a dislike button
i don't like becoming one of those thirty likes from here and likes from there
saying ""let's meet up once"" and ""oh why are you so pretty""
uh f**k that all stupid b*******s
you're not even mine anymore but why do i feel like you're being taken away
haha you're living fine without me
i don't wanna see it so stop partying so hard
i swallow the curses that rose up to my throat
and again today i press the like button, shit

after we broke up you look better, pretty woman
yeah yeah yeah yeah
annoyingly, you still look good, pretty woman
oh pretty woman

don’t wanna be fool, wanna be cool
wanna be loved, same love as you
i know it’s over
don’t wanna be fool, wanna be cool
wanna be loved, same love as you
baby, i want it

my friend clicked like on your photo
and i see that your face looks much better
you tag tag a photo with your new boyfriend
through that i'm backspace-ing into the memories
in that world everything has stopped
so why am i still stuck in those times?
do you think of me, do you?
i contemplate if i should click like or not
it repeats many times
your heart is like a guillotine
cutting me mercilessly
but, like a goblin, i secretly go to you
and watch your daily life
each time my mind gets filled with the 108 defilements
oh shit, do you think of me, do you?
as i contemplate, i decide not to click like

after we broke up you look better, pretty woman
yeah yeah yeah yeah
annoyingly you still look good, pretty woman
oh pretty woman

don’t wanna be fool, wanna be cool
wanna be loved, same love as you
i know it’s over
don’t wanna be fool, wanna be cool
wanna be loved, same love as you
baby, i want it

as i wonder how you're doing, the likes are shining
you, the one living fine without me
why did i think of you? the only thing that finds me is pity for myself
i'll press the button on your post and go
this is how i've been spending my time without you recently
know you want it

after we broke up you look better, pretty woman
yeah yeah yeah yeah
annoyingly you still look good, pretty woman
oh pretty woman

don’t wanna be fool wanna be cool
wanna be loved same love as you
i know it’s over
don’t wanna be fool wanna be cool
wanna be loved same love as you
baby i want it",2013
Outro: Circle Room Cypher,0.866,"hurry up, hurry-hurry-hurry-hurry-hurry-hurry-hurry
 school is over!
 i'm hungry, i'm hungry
 i wanna eat nanakon...
 i'm hungry, i'm hungry... i'm hungry
 (school is finally over~)
 ah hyung, go, go, go
 (finally~)
 i'll give you 500 won, come back with 600 won
 quiet, quiet, quiet! hey, i wrote a killer beat
 again? again?
 (we record every day...
 what do we always record)
 i know we record everyday, but!
 but!
 but!
 but!
 again is alright
 again? damn
 it's alright
 just as expected...
 i know, i know, i know
 let's enjoy, same day!
 it's okay to do it every day
 tiresome same beat!
 should i, haha, should i play it? should i not?
 okay, let's listen, listen
 you guys judge!
 okay, okay
 we'll see how well you've recorded it
 play? hey, do i play it? do i play it?
 do it well!~
 it's alright!
 really?
 hey, how is it? how is it?
 it's not bad
 i like it
 it's great
 hey, it's been a while, how about a cypher?
 cypher?
 cypher!~
 let's go big with a cypher, shall we?
 ahh~ i'm nervous!
 let's do it, yes?
 hyung you go first, hyung first, hyung first
 yo, hey, alright then, we'll start with me
 go suga, go...
 suga! okay, i'll start, yo, uh
 (go suga! go suga! go suga!)
 suga, uh, yo, uh
 
 my name is s-u-g-a
 other rappers are all behind me
 same as always, i tease my tongue
 this way and that over this beat
 all your rap makes me sleepy
 shall we rewind the cd?
 our music makes the women cry
 our name is bangtan
 what's coming out of your mouth right now... exclamation?
 (exclamation?!)
 hey, don't fool around
 who's next? next, next
 oh, this music is good
 (rap monster?)
 who? rapmon?
 now, get this
 yo rapmon! yo rapmon!
 
 i'm a cool boy
 i'm a nice boy
 but my voice is low
 you're one shot, i'm four shots
 i'm the igatan that heals you
 you can do rap, i do it well
 you are ribbon pig
 i do it with my feet
 comme des, rolex, dior, hermes
 all words that suit me
 but for you, it's 'tacky or trashy'
 no, 'pompeii'
 you just erupted, cover up those mountains
 wait, guys, i need to pee
 oh~ho~!
 nwappwappwappwa wow
 seriously, i need to go
 go jungkook! go jungkook! (jeon jungkook!)
 go jungkook! (jeon jungkook!)
 today again, got ya
 my time freestyle rapping
 if you measure up, it's brand name setting
 suited to an mc, all that mcm
 gucci, alexander mcqueen
 this isn't my first time rapping
 it's different now, i'm walking along the beat
 i cover them all during the summer, then i catch them all
 jungkook, look at me, look at me, look at me
 wahhh~!!
 who's next? who's next? next
 ah, should i do it?
 go taehyung! go taehyung! go taehyung!
 then i'll go, cypher
 alright, so i heard the hyungs rap well
 namjoon hyung's lyrics, he's all mature now
 their rap skills are nearly back to back
 it's compliment, now quit it
 hobi hyung is in front of me, he's getting tense now
 what's making you nervous? go make us some kimchi
 daegu dialect, it's alive!
 yoongi hyung, you alive, son
 aaah~!!
 he's alive!
 now j-hope has to come forth, j-hope, okay?
 hobi on his way! hobi on his way!
 (hope-hope-hope-hope)
 (uh uh yo uh yo)
 this is a skit in our music
 i'll show you my blade-like skill
 my, my, my, my, my name is j-hope
 i'm so cool, i don't even leave a trace
 like that pose
 god damn, i'm the hip hop that gwangju gave birth to
 this is the start to jeolla-do's rap
 i'll shake you up until you go bust
 because we're really smashing
 (oh~ohh~!)
 ok, now jin hyung?
 go march! go march! go march!
 (oh, jin hyung is also gonna do it?)
 ya ah, it's getting bigger
 yeah
 my name is jin (jin!)
 i'm the most handsome
 my nickname, jindda
 but keep shaking your books, you'll fall out, yeah
 (yeah, and then what?)
 yeah, so my nickname is jin (jin!)
 so my stage name is jin (jin~!)
 hey, who, who, who's left?
 yo uh, jimin?
 shall i show you? shall i show the strength of the vocal team?
 go jimin! go jimin! go jimin!
 yo, yo, my name is jimin
 my rap makes the vocal team wet their pants
 taehyung, please get up, you smell a little fishy
 look me up in advance
 ah...... what was that... leave, leave, leave, leave
 ah, what was that, go then
 (go, go, go, go...)
 sorry
 i knew you were gonna diss me
 i won't do it again
 i don't think you should rap... go...
 (migrate, migrate, migrate, migrate) (go migrate)
 sorry!
 (sorry hahahaha)
 leave!
 hey, now that our cypher's over, how about we go out and eat?
 (to incheon?)
 i don't wanna eat
 (what, ah, i'm so hungry i could die)
 hey, suga, let's go eat lobster soondae
 let's go! i'll treat you all!
 i get sick, i'm not gonna eat any
 hey, let's go
 only nanakon from earlier
 see ya tomorrow, namjoon
 hey, i'm leaving, namjoon
 seriously, this is too much
 hyung, we're leaving
 go! go go! go!
 stay put~",2013
"Intro: O!RUL8,2?",0.188,"nothing lasts forever
you only live once
so live your life, not any other’s lives
take chances and never regret, never
never be late to do what you wanna do right now
because at one point of someday
everything you did
would be exactly what you will be
right?
my father told me to enjoy life
i want to ask my father if he enjoyed his life
i want to ask why the natural became unnatural
and why the unnatural became natural
why am i not in my life and
in some other person’s life?
this is real, it isn’t a gamble or a game
it’s just one life
who are you living for?
my heart stopped when i was nine or ten
put your hand on your heart
and ask what you dream was
what it really was",2013
N.O ,0.571,"a good house, a good car, will these things bring happiness?
in seoul to the sky, would your parents be happy?

dream is gone, no time to breathe
school, house and pc room is all we have
we live the same life
and have to become number one
for us it's like a double spy between dream and reality

who is the one who made us into study machines?
it's either number one or a failure
they trap us in borders, the adults
there’s no choice but to consent
even if we think simply, it’s the survival of the fittest
who do you think is the one who makes us step on even our close friends to climb up? what?

adults tell me that hardships are only momentary
to endure a little more, to do it later

everybody say no!
it's not going to work anymore
don't be captured in others dreams
we roll (we roll) we roll (we roll) we roll
everybody say no!
it has to be now
we've done nothing yet
we roll (we roll) we roll (we roll) we roll
everybody say no!

a good house, a good car, will these things bring happiness?
in seoul to the sky, would your parents be happy?

i want to eat and have fun, i want to tear my uniform
make money, good money, but they already view me crookedly
my obscure bank account, my unhappiness is past its limit
a factory of sighs while studying, a continuous cycle

adults say that we have it so easy
they say i'm on my way to happiness
then how do you explain my unhappiness?
there's no conversation topics other than studying
outside, there are so many kids like me, living the life of a puppet
who will take responsibility?

adults tell me that hardships are only momentary
to endure a little more, to do it later

everybody say no!
it's not going to work anymore
don't be captured in others dreams
we roll (we roll) we roll (we roll) we roll
everybody say no!
it has to be now
we've done nothing yet
we roll (we roll) we roll (we roll) we roll
everybody say no!

everybody say no!
everybody say no!
everybody say no!
everybody say no!",2013
We On ,0.801,"hey, swag, swag (heh)
whatever they say
i’m here for my music
here for my music
h-here for my music
whatever my haters
say i’m real for my music
real for my music
r-real for my music

runch randa and rapmon
are both part of me
the envy of the aspiring rappers my age
you guys only see what
you want to see anyway
you foolish and young’ins
with short educations like capri pants
when you rap about love and affection
i rap about big things
those smack-cracker dolls who are filled
with inferiority complexes
talk smack about my sunglasses, my hairstyle, my name
it’s sad comedy of losers in reality
my rap smothers you
making you suffocate
head-scratching kids who say they hate the busy world of k-pop
pretending to be someone they’re not
i know you pretty well
damn fan, the public, manias
yeah i’m makin’ em mine
big hit and bangtan boys
yeah i’m makin’ em shine
hooligans who will bring the value of our name
i’ve never wanted a hole-in-one
yeah bitch i wanna be the one
not number one but the only one
swag

i don’t know you and you don’t know me
so please shut up
don’t worry about me, i’m better than you
and will continue to be so
where are all the friends who looked
down on my since before? we on
this isn’t a joke
i’ll show you, i promise ya, we on
(gimme dat, real fact)
i’ll show you, i promise ya, we on
(gimme dat, real fact)
i’ll show you, i promise ya, we on

whatever they say
i’m here for my music
here for my music
h-here for my music
whatever my haters
say i’m real for my music
real for my music
r-real for my music

oh oh my haters, talk more smack about me
keyboard warriors, make some more effort
yes, look down on me like that
it’s my hobby
to prove you wrong
uh my skills become a controversy
it’s too early to draw a conclusion
i’m killa, jack the ripper
i’ll pierce you with my sharp tongue
i’m illa, even if i’m lazy
i’m busier than you, hit home?
the haters who looked down on me before my debut
you were filled with hip-hop
pride but now you’re beneath me
look carefully, i’m in the majors
jealous? hey chaser
i think it’s too much
for you to follow
just stay there
these lyrics i wrote myself is a hand-lib
i graduated from being a trainee, celebrate
i’m a rap blackbelt
you’re just a green belt
there’s no growth, hey guys
feel more inferior

i don’t know you and you don’t know me
so please shut up
don’t worry about me, i’m better than you
and will continue to be so
where are all the friends who looked
down on my since before? we on
this isn’t a joke
i’ll show you, i promise ya, we on
(gimme dat, real fact)
i’ll show you, i promise ya, we on
(gimme dat, real fact)
i’ll show you, i promise ya, we on

2 cool 4 skool
promotions received standing ovations
this is for all the
kids who smirked at us
“congratulations”, yeah right
you’re just saying that
for connections
if so, your senses have rot, cut them out
uh now our level has changed
he knows and she knows
everyone’s number one interest
it’s too early to be awed
look out for my future
i’ll go toward the path of my
success as much as you looked down on me

i don’t know you and you don’t know me
so please shut up
don’t worry about me, i’m better than you
and will continue to be so
where are all the friends who looked
down on my since before? we on
this isn’t a joke
i’ll show you, i promise ya, we on
(gimme dat, real fact)
i’ll show you, i promise ya, we on
(gimme dat, real fact)
i’ll show you, i promise ya, we on

whatever they say
i’m here for my music
here for my music
h-here for my music
whatever my haters
say i’m real for my music
real for my music
r-real for my music",2013
If I Ruled the World ,0.73,"if i ruled the world i’d do it all
(westside, westside, westside)
if i ruled the world i’d do it all
(westside, westside, westside)

if i ruled the world i’d have it all
all guys probably feel the same
when it comes to pretty girls, there’s no racism
european, asian, caucasian girls
(i have ‘em)
call rick owens, ann demeulemeester
alexander wang and shane oliver
i’ll make them make
the kim namjoon collection forever
the color of the clothes would be black
now i’m finally pleased
music, turn it up
i’d pick my nose out of boredom
so i’ll make a song and
make everyone on earth sing it
the title of the song would be “ae gu ga”
i’ll be buried under pretty girls as i watch tv
all girls of the world would want me, ready to die
boys, bring me alcohol
or you can just disappear
anyway, this is my kingdom

if i ruled the world
i’d do it all (i’d do it all)
i said 1 for the money, 2 for the money
if i ruled the world
i’d do it all (i’d do it all)
i said 1 for the money, 2 for the money
everybody say he-o-e-oh-oh!
everybody say he-o-e-oh-oh!
everybody say hey, ho! hey-hey-ho!
i know it’s ridiculous
but i’m singing this childish song

if i ruled the world, sometimes, i dream
if i ruled the world, first i’ll hire a real estate agent
and buy a house to live in with my family
yes, next i’ll awaken my savings
and buy a four-wheel drive, put in some gas
even if it’s too much
i’ll get it with zero-interest discount
stocks and gambling
i don’t wanna do things like that
i rule the world so why would i dream small?
don’t ask me that because
i still want to do music with my bts family
i will become the kim jung-un of the hip-hop world
and put a ban on everything but our music
i know it’s an unreasonable dream but it’s my dream
don’t make fun of me

if i ruled the world
i’d do it all (i’d do it all)
i said 1 for the money, 2 for the money
if i ruled the world
i’d do it all (i’d do it all)
i said 1 for the money, 2 for the money
everybody say he-o-e-oh-oh!
everybody say he-o-e-oh-oh!
everybody say hey, ho! hey-hey-ho!
i know it’s ridiculous
but i’m singing this childish song

oh girl, where? oh god, here!
all the girls of the world are in hope world, lined up
even if i lightly spend all the money i want
money is put into the goalpost called my wallet
i’ll fearlessly walk around the stage
even if i don’t run, my mileage would still build up
i will soon gift myself with these dreams
i’ll shout with the name of bts
if i ruled the world

if i ruled the world
i’d do it all (i’d do it all)
i said 1 for the money, 2 for the money
if i ruled the world
i’d do it all (i’d do it all)
i said 1 for the money, 2 for the money
everybody say he-o-e-oh-oh!
everybody say he-o-e-oh-oh!
everybody say hey, ho! hey-hey-ho!

i know it’s ridiculous
but i’m singing this childish song",2013
Coffee ,0.572,"baby baby, you’re a caramel macchiato
your scent is still sweet on my lips
baby baby tonight
yeah

girl, i debuted, that’s enough right?
i made a bet with the world on how much i’d succeed
my half-moon eye smile that i only showed you
i’m doing it again these days
my fans are curious
oh and i don’t drink macchiatos
you know that i started drinking americanos because of you
when we dated, i wondered what kind of taste this was
but this cold and bitter aftertaste
makes sense now that you’re not here girl
if i’m gonna get used to everything like this
i would choose the full-of-regrets, playing with fire
our heartless promises
countless mistakes and other wrongs
our unspeakable and small wounds
the glass filled with memories is more bitter as i drink it
but i think i know why i keep drinking it
why am i getting so sad that everyone lives this way?
oh oh oh

baby baby, you’re a caramel macchiato
your scent is still sweet on my lips
baby baby tonight
yeah yeah yeah
baby baby, you were warmer than the scent of a cafe latte
do you remember that feeling?
baby baby tonight
yeah

baby tonight, have a good night
our first text and phone call that
was filled with awkward moments
our highly anticipated first date
why did i bite my nails? why was i so nervous?
as time went by, we naturally developed into lovers
with those kinds of words
we checked each other’s feelings
our first date was sweet like a caramel macchiato
wherever we went, we wanted to go together
but as time went by
those feelings went down like dripping down espresso
uh, my insides ache for no reason, uh we used to be so good
breaking up was like a bitter americano
my memories still go to that cafe

baby baby, you’re a caramel macchiato
your scent is still sweet on my lips
baby baby tonight
yeah
baby baby, you were warmer than the scent of a cafe latte
do you remember that feeling?
baby baby tonight

1,2,3,4
the days when i used to be
intoxicated with your scent all day
i remember we chose to break up
after promising our futures together
as i drink this minty coffee that you
used to like, i think of you, rewind
a lot of time passed and these days
i sometimes miss you, i wonder why?

baby baby, you’re a caramel macchiato
your scent is still sweet on my lips
baby baby tonight
baby baby, you were warmer than the scent of a cafe latte
do you remember that feeling?
baby baby tonight",2013
